ma,vol_target,band,cagr,sharpe,max_dd,in_mkt,dsr,sr_expected_max_luck
150,0.08,0.3,0.05739920250376351,0.8736832501460844,-0.1324195246912031,0.6035031847133758,0.974222434235145,0.014893105213576249
150,0.1,0.05,0.05645660417015064,0.7695112953154729,-0.15870402161171338,0.5640923566878981,0.9497391238433335,0.014893105213576249
150,0.1,0.15,0.05635257453733922,0.754539877246005,-0.16909509627132502,0.5569267515923567,0.9450594516207252,0.014893105213576249
150,0.1,0.3,0.06967291498379047,0.8767010150616796,-0.14841352529078777,0.6042993630573248,0.9747720072170916,0.014893105213576249
150,0.12,0.05,0.05939115655457439,0.7116463489383889,-0.1840892753884612,0.5640923566878981,0.9280775926756764,0.014893105213576249
150,0.12,0.15,0.060313404443386176,0.7250490230441327,-0.19487107116705593,0.5640923566878981,0.9346251226832691,0.014893105213576249
150,0.12,0.3,0.06391780493622456,0.7315887882834344,-0.1876283735794223,0.5999203821656051,0.9358077859012757,0.014893105213576249
150,0.16,0.05,0.06355923526657947,0.6655720173478364,-0.21241063577463737,0.5640923566878981,0.9057736759444972,0.014893105213576249
150,0.16,0.15,0.06566578827481684,0.6804061829614817,-0.21247430426946767,0.5640923566878981,0.9132036936819996,0.014893105213576249
150,0.16,0.3,0.06629308773068687,0.6732193922643437,-0.19327501305083206,0.5569267515923567,0.9084784582956411,0.014893105213576249
150,0.2,0.05,0.06497112233030267,0.6374745835005636,-0.21289432965388555,0.5640923566878981,0.8890613377020251,0.014893105213576249
150,0.2,0.15,0.06390997173541502,0.6250677633951274,-0.213477223817242,0.5640923566878981,0.8817656379944494,0.014893105213576249
150,0.2,0.3,0.06324274332660451,0.6102015593271112,-0.2078053354417565,0.5569267515923567,0.8729206588627108,0.014893105213576249
150,0.3,0.05,0.06351787076875137,0.5898206789013721,-0.21099955702581719,0.5640923566878981,0.8599933290564596,0.014893105213576249
150,0.3,0.15,0.06469108840151172,0.5973587455528256,-0.2109995570258162,0.5640923566878981,0.8650616416407324,0.014893105213576249
150,0.3,0.3,0.06562623321759076,0.6059518520815784,-0.20776394355465133,0.5640923566878981,0.8705111247687076,0.014893105213576249
200,0.08,0.05,0.050210173907111466,0.8271231348852861,-0.14638228007259202,0.5581210191082803,0.9656723837353502,0.014893105213576249
200,0.08,0.15,0.04841554239162904,0.7861598834694105,-0.1512505848993405,0.554140127388535,0.9545547565130171,0.014893105213576249
200,0.08,0.3,0.056933424548273104,0.8691315448485405,-0.14644113514355894,0.5883757961783439,0.9733728734339413,0.014893105213576249
200,0.1,0.05,0.05695729814053352,0.7783016619506823,-0.1758671835059905,0.5581210191082803,0.9523767288693186,0.014893105213576249
200,0.1,0.15,0.05666283210185963,0.7603476645903768,-0.18647666780828087,0.5509554140127388,0.9469450582968908,0.014893105213576249
200,0.1,0.3,0.07012309209701151,0.8841382494749174,-0.16619471350219406,0.5955414012738853,0.9760083657041436,0.014893105213576249
200,0.12,0.05,0.05972309566684353,0.7169870308988421,-0.2020085022919218,0.5581210191082803,0.930208902401124,0.014893105213576249
200,0.12,0.15,0.060599994987249994,0.7299467956429697,-0.2128911879427019,0.5581210191082803,0.9364623835382471,0.014893105213576249
200,0.12,0.3,0.06163953095702257,0.7161181049834074,-0.19320163176684346,0.5967356687898089,0.9301512428116177,0.014893105213576249
200,0.16,0.05,0.06368091461525438,0.6677454663824849,-0.22925885598189288,0.5581210191082803,0.9068230633246943,0.014893105213576249
200,0.16,0.15,0.06578769757413672,0.6825770409816556,-0.22932116247150547,0.5581210191082803,0.9141886863517688,0.014893105213576249
200,0.16,0.3,0.066881749311688,0.6737789656318138,-0.22526017984059732,0.554140127388535,0.9083953446569589,0.014893105213576249
200,0.2,0.05,0.0650717621799588,0.6391359803497348,-0.22909056258616411,0.5581210191082803,0.889951343301421,0.014893105213576249
200,0.2,0.15,0.06401051130626167,0.626695018413154,-0.22966146256627207,0.5581210191082803,0.8826795299444337,0.014893105213576249
200,0.2,0.3,0.06334318781588988,0.6117611101120268,-0.22410628434643431,0.5509554140127388,0.8738479056158963,0.014893105213576249
200,0.3,0.05,0.06335237196142551,0.5889141763257079,-0.22723477859709895,0.5581210191082803,0.8593629417272068,0.014893105213576249
200,0.3,0.15,0.06452540702450471,0.5964606047996808,-0.22723477859709784,0.5581210191082803,0.8644521241990681,0.014893105213576249
200,0.3,0.3,0.0654604063184856,0.6050608340496785,-0.22406574417806135,0.5581210191082803,0.8699227698145826,0.014893105213576249
250,0.08,0.05,0.0463808037482627,0.7784787506413668,-0.13921169860742189,0.5429936305732485,0.9526299524975754,0.014893105213576249
250,0.08,0.15,0.04460864545094356,0.7395156434673122,-0.14412089829324537,0.5386146496815286,0.9390905884674756,0.014893105213576249
250,0.08,0.3,0.056853754127326184,0.87911462250264,-0.13912842964345318,0.5752388535031847,0.9751428617006072,0.014893105213576249
250,0.1,0.05,0.05271707610312748,0.7331251268214865,-0.1675261311739441,0.5429936305732485,0.936975263466265,0.014893105213576249
250,0.1,0.15,0.05255886681781319,0.7179384190416264,-0.17824299411959132,0.535828025477707,0.9313178464780625,0.014893105213576249
250,0.1,0.3,0.06633451964540482,0.8495603622834864,-0.1586490223350594,0.5804140127388535,0.9694096230890134,0.014893105213576249
250,0.12,0.05,0.055858785486672335,0.6806828932511252,-0.19305728001390454,0.5429936305732485,0.9141190644167242,0.014893105213576249
250,0.12,0.15,0.05655050358599034,0.6916650338583687,-0.2040620388177451,0.5429936305732485,0.9204468862407873,0.014893105213576249
250,0.12,0.3,0.05800304417431956,0.6834514897170928,-0.18415162114851147,0.5812101910828026,0.9157427977522651,0.014893105213576249
250,0.16,0.05,0.05974079665204535,0.6346643598694144,-0.22048815879378936,0.5429936305732485,0.8890059007205452,0.014893105213576249
250,0.16,0.15,0.061839775603854674,0.6498456765950127,-0.22055117430400883,0.5429936305732485,0.8975817827251331,0.014893105213576249
250,0.16,0.3,0.06348894030744612,0.64705495354813,-0.21644397946655303,0.5386146496815286,0.8944687920302291,0.014893105213576249
250,0.2,0.05,0.06102307132042584,0.6070125156354435,-0.22005030961238348,0.5429936305732485,0.8707502353751349,0.014893105213576249
250,0.2,0.15,0.05996585461312476,0.5946673957763636,-0.22062790438696656,0.5429936305732485,0.8626791479378029,0.014893105213576249
250,0.2,0.3,0.0593010678405701,0.5801518489792887,-0.21500758204774784,0.535828025477707,0.8530892560678837,0.014893105213576249
